date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:38:54	2380/2380	---MCZ	200	added ('OK')	text/xml	date:Mon,%2022%20Oct%202018%2022:38:55%20GMT	https://www.weezbe.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.weezbe.com%2Fblog%2Fiadvize%2F&format=xml	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-json/oembed/1.0/embed2747	(from https://www.weezbe.com/blog/iadvize/)
00:38:54	38684/38684	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Oct%202018%2022:38:55%20GMT	https://www.weezbe.com/blog/tag/click-to-chat/linkid.js	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/click-to-chat/linkid.js	(from https://www.weezbe.com/blog/tag/click-to-chat/)
00:38:55	10801/10801	---M-Z	200	added ('OK')	application/rss+xml	etag:%2234de35707ac2d39514d688fa8dd114a9%22	https://www.weezbe.com/blog/tag/click-to-chat/feed/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/click-to-chat/feed/index.html	(from https://www.weezbe.com/blog/tag/click-to-chat/)
00:38:55	38684/38684	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Oct%202018%2022:38:56%20GMT	https://www.weezbe.com/blog/tag/social/linkid.js	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/social/linkid.js	(from https://www.weezbe.com/blog/tag/social/)
00:38:56	3931/3931	---M-Z	200	added ('OK')	application/rss+xml	etag:%2234de35707ac2d39514d688fa8dd114a9%22	https://www.weezbe.com/blog/tag/social/feed/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/social/feed/index.html	(from https://www.weezbe.com/blog/tag/social/)
00:38:56	38684/38684	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Oct%202018%2022:38:57%20GMT	https://www.weezbe.com/blog/tag/plugin/g.gif	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/plugin/g.gif	(from https://stats.wp.com/e-201837.js)
00:38:57	38684/38684	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Oct%202018%2022:38:58%20GMT	https://www.weezbe.com/blog/tag/plugin/c.gif	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/plugin/c.gif	(from https://stats.wp.com/e-201837.js)
00:38:58	38684/38684	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Oct%202018%2022:38:59%20GMT	https://www.weezbe.com/blog/tag/plugin/t.gif	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/plugin/t.gif	(from https://stats.wp.com/e-201837.js)
00:38:58	38688/38688	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Oct%202018%2022:38:59%20GMT	https://www.weezbe.com/blog/category/comparateurs-marketplaces/page/2/linkid.js	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/category/comparateurs-marketplaces/page/2/linkid.js	(from https://www.weezbe.com/blog/category/comparateurs-marketplaces/page/2/)
00:38:59	41982/41982	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Sep%202018%2006:23:59%20GMT	https://www.weezbe.com/blog/comparateur-de-prix-5-avantages-dy-etre-present/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/comparateur-de-prix-5-avantages-dy-etre-present/index.html	(from https://www.weezbe.com/blog/category/comparateurs-marketplaces/page/2/)
00:38:59	158938/158938	---M--	200	added ('OK')	image/jpeg	etag:%224aba5505-26cda%22	https://www.weezbe.com/wp-content/uploads/comparateur-de-prix-le-guide.JPG	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-content/uploads/comparateur-de-prix-le-guide.jpg	(from https://www.weezbe.com/blog/category/comparateurs-marketplaces/page/2/)
00:38:59	9278/9278	---M--	200	added ('OK')	image/jpeg	etag:%224aba5505-243e%22	https://www.weezbe.com/wp-content/uploads/comparateur-de-prix-le-guide-150x150.jpg	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-content/uploads/comparateur-de-prix-le-guide-150x150.jpg	(from https://www.weezbe.com/blog/category/comparateurs-marketplaces/page/2/)
00:39:37	32500/32500	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Sep%202018%2011:34:45%20GMT	https://www.weezbe.com/blog/tag/ciao/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/ciao/index.html	(from https://www.weezbe.com/blog/category/comparateurs-marketplaces/page/2/)
